Phase 3C : SAC Online Training
Start: 2026-01-09 22:06:17.492659
Buildings: ['Eplus-5zone-hot-continuous-v1', 'Eplus-5zone-cool-continuous-v1', 'Eplus-5zone-mixed-continuous-v1']
Episode 223 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 224 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 225 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 226 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 227 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 228 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 229 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 230 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 231 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 232 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 233 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 234 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 235 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 236 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 237 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 238 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 239 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 240 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 241 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 242 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 243 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 244 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 245 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 246 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 247 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 248 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 249 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 250 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 251 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 252 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 253 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 254 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 255 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 256 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 257 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 258 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 259 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 260 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 261 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 262 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 263 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 264 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 265 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 266 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 267 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 268 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 269 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 270 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 271 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 272 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 273 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 274 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 275 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 276 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 277 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 278 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 279 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 280 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 281 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 282 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 283 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 284 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 285 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 286 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 287 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 288 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 289 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 290 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 291 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 292 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 293 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 294 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 295 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 296 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 297 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 298 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 299 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 300 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 301 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 302 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 303 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 304 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 305 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 306 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 307 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 308 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 309 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 310 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 311 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 312 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 313 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 314 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 315 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 316 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 317 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 318 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 319 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 320 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 321 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 322 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 323 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 324 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 325 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 326 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 327 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 328 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 329 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 330 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 331 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 332 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 333 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 334 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 335 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 336 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 337 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 338 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 339 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 340 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 341 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 342 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 343 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 344 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 345 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 346 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 347 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 348 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 349 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 350 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21

End: 2026-01-09 22:36:14.000096
