Phase 3C : TD3 Online Training
Start: 2026-01-09 22:36:14.559042
Buildings: ['Eplus-5zone-hot-continuous-v1', 'Eplus-5zone-cool-continuous-v1', 'Eplus-5zone-mixed-continuous-v1']
Episode 304 (5zone): Reward=-44.28, SOC=0.48, Cost=$0.18
Episode 305 (5zone): Reward=-51.87, SOC=0.48, Cost=$0.20
Episode 306 (5zone): Reward=-107.85, SOC=0.48, Cost=$0.36
Episode 307 (5zone): Reward=-44.24, SOC=0.48, Cost=$0.18
Episode 308 (5zone): Reward=-51.58, SOC=0.48, Cost=$0.20
Episode 309 (5zone): Reward=-107.14, SOC=0.48, Cost=$0.36
Episode 310 (5zone): Reward=-44.36, SOC=0.48, Cost=$0.18
Episode 311 (5zone): Reward=-50.82, SOC=0.48, Cost=$0.19
Episode 312 (5zone): Reward=-107.21, SOC=0.48, Cost=$0.36
Episode 313 (5zone): Reward=-44.54, SOC=0.48, Cost=$0.18
Episode 314 (5zone): Reward=-52.09, SOC=0.48, Cost=$0.20
Episode 315 (5zone): Reward=-107.81, SOC=0.48, Cost=$0.36
Episode 316 (5zone): Reward=-44.14, SOC=0.48, Cost=$0.18
Episode 317 (5zone): Reward=-50.75, SOC=0.48, Cost=$0.19
Episode 318 (5zone): Reward=-106.80, SOC=0.48, Cost=$0.36
Episode 319 (5zone): Reward=-44.78, SOC=0.48, Cost=$0.18
Episode 320 (5zone): Reward=-52.42, SOC=0.48, Cost=$0.20
Episode 321 (5zone): Reward=-74.14, SOC=0.49, Cost=$0.42
Episode 322 (5zone): Reward=-44.28, SOC=0.48, Cost=$0.18
Episode 323 (5zone): Reward=-51.76, SOC=0.48, Cost=$0.20
Episode 324 (5zone): Reward=-107.47, SOC=0.48, Cost=$0.36
Episode 325 (5zone): Reward=-44.61, SOC=0.48, Cost=$0.18
Episode 326 (5zone): Reward=-51.87, SOC=0.48, Cost=$0.20
Episode 327 (5zone): Reward=-107.73, SOC=0.48, Cost=$0.36
Episode 328 (5zone): Reward=-44.17, SOC=0.48, Cost=$0.18
Episode 329 (5zone): Reward=-51.86, SOC=0.48, Cost=$0.20
Episode 330 (5zone): Reward=-107.64, SOC=0.48, Cost=$0.36
Episode 331 (5zone): Reward=-43.92, SOC=0.48, Cost=$0.18
Episode 332 (5zone): Reward=-51.63, SOC=0.48, Cost=$0.20
Episode 333 (5zone): Reward=-107.71, SOC=0.48, Cost=$0.36
Episode 334 (5zone): Reward=-44.48, SOC=0.48, Cost=$0.18
Episode 335 (5zone): Reward=-51.72, SOC=0.48, Cost=$0.20
Episode 336 (5zone): Reward=-108.59, SOC=0.48, Cost=$0.36
Episode 337 (5zone): Reward=-44.47, SOC=0.48, Cost=$0.18
Episode 338 (5zone): Reward=-52.13, SOC=0.48, Cost=$0.20
Episode 339 (5zone): Reward=-107.79, SOC=0.48, Cost=$0.36
Episode 340 (5zone): Reward=-44.55, SOC=0.48, Cost=$0.18
Episode 341 (5zone): Reward=-52.09, SOC=0.48, Cost=$0.20
Episode 342 (5zone): Reward=-107.58, SOC=0.48, Cost=$0.36
Episode 343 (5zone): Reward=-44.54, SOC=0.48, Cost=$0.18
Episode 344 (5zone): Reward=-52.01, SOC=0.48, Cost=$0.20
Episode 345 (5zone): Reward=-107.47, SOC=0.48, Cost=$0.36
Episode 346 (5zone): Reward=-44.53, SOC=0.48, Cost=$0.18
Episode 347 (5zone): Reward=-52.12, SOC=0.48, Cost=$0.20
Episode 348 (5zone): Reward=-88.19, SOC=0.49, Cost=$0.41
Episode 349 (5zone): Reward=-44.31, SOC=0.48, Cost=$0.18
Episode 350 (5zone): Reward=-52.16, SOC=0.48, Cost=$0.20

End: 2026-01-09 23:15:25.116911
